No.,Tanggal,Nomor,ATM ID,Lokasi,Jenis Layanan,Laporan Kerusakan,Pekerjaan Dilakukan,Nomor Tiket,Penggantian Sparepart,Jumlah Part,Status,CSE,Pilihan
114,30 Maret 2020,82348,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
115,18 Februari 2020,85019,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
116,30 Juli 2020,86291,ATM20003002,SPBU KHATIB SULAIMAN,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace fs1 rak3,ta 1 rak 3 ,sw 1 rak 3,test OK. ", ,Feedshaft *OPTEVA* ,1 , ,Doni Indra ,
,,,,,,,,,Stripper SnapOnWheel Wide Standard  *** NEW *** ,1 , ,Doni Indra ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,1 , ,Doni Indra ,
117,30 November 2020,86303,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
118,09 Januari 2020,85035,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
119,30 April 2020,82328,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
120,28 September 2020,86270,ATM20003002,SPBU KHATIB SULAIMAN,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device, replace .CRR , test OK. ",2009-1353 ,Card  Reader Motorized . ,1 , ,Doni Indra ,
121,29 Juni 2020,82308,ATM20003002,SPBU KHATIB SULAIMAN,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace . FS 1 rak 1, TA 1 rak 1, SW 1 rak 1, test OK. ", ,Feedshaft *OPTEVA* ,1 , ,Doni Indra ,
,,,,,,,,,Stripper SnapOnWheel Wide Standard  *** NEW *** ,1 , ,Doni Indra ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,1 , ,Doni Indra ,
122,26 Oktober 2020,86325,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
123,29 Desember 2020,90782,ATM20003002,SPBU KHATIB SULAIMAN,PM 1 ,Preventive Maintenance ,"Check & Clean all devices, no replace, test OK. ", , , , ,Doni Indra ,
124,15 Agustus 2020,86338,ATM20003002,SPBU KHATIB SULAIMAN,PM 2 ,Hardware ,"General Maintenance, Check & Clean all device,install ulang,. test OK. ", , , , ,Doni Indra ,
125,02 Mei 2020,82310,ATM20003004,KK INDONESIA,PM 2 ,Preventive Maintenance ,"General Maintenance, Check & Clean all device, replace .fs 1 rak 2,ta1 rak2,sw 1 rak 2..., test OK. ", ,Feedshaft *OPTEVA* ,1 , ,Doni Indra ,
,,,,,,,,,Stripper SnapOnWheel Wide Standard  *** NEW *** ,1 , ,Doni Indra ,
,,,,,,,,,WHL T/A OVRMLD ( TAKE AWAY SNAP ON WHEEL ** NEW ** ,1 , ,Doni Indra ,
